No.,Player,Flag,Pos,Age,Ht,Wt,S.C,Exp,Birth.Date,Summary
45,Josh Archibald,ca,RW,23,5-10,176,R/-,R,"October 6, 1992","0 G, 0 A, 0 P"
19,Beau Bennett,us,RW,24,6-2,195,R/-,3,"November 27, 1991","6 G, 6 A, 12 P"
13,Nick Bonino,us,C,27,6-1,196,L/-,6,"April 20, 1988","9 G, 20 A, 29 P"
2,Adam Clendening,us,D,23,6-0,190,R/-,1,"October 26, 1992","0 G, 1 A, 1 P"
28,Ian Cole,us,D,26,6-1,219,L/-,5,"February 21, 1989","0 G, 12 A, 12 P"
87,Sidney Crosby (C),ca,C,28,5-11,200,L/-,10,"August 7, 1987","36 G, 49 A, 85 P"
7,Matt Cullen,us,C,39,6-1,200,L/-,17,"November 2, 1976","16 G, 16 A, 32 P"
6,Trevor Daley,ca,D,32,5-11,195,L/-,11,"October 9, 1983","6 G, 16 A, 22 P"
8,Brian Dumoulin,us,D,24,6-4,207,L/-,2,"September 6, 1991","0 G, 16 A, 16 P"
9,Pascal Dupuis,ca,RW,36,6-1,205,L/-,14,"April 7, 1979","2 G, 2 A, 4 P"
24,Bobby Farnham,us,RW,27,5-10,190,L/-,1,"January 21, 1989","0 G, 0 A, 0 P"
16,Eric Fehr,ca,C,30,6-4,212,R/-,10,"September 7, 1985","8 G, 6 A, 14 P"
29,Marc-Andre Fleury,ca,G,31,6-2,180,-/L,11,"November 28, 1984","35-17-6, 2.29 GAA"
62,Carl Hagelin,se,LW,27,5-11,186,L/-,4,"August 23, 1988","10 G, 17 A, 27 P"
72,Patric Hornqvist,se,RW,29,5-11,189,R/-,7,"January 1, 1987","22 G, 29 A, 51 P"
81,Phil Kessel,us,RW,28,6-0,202,R/-,9,"October 2, 1987","26 G, 33 A, 59 P"
34,Tom Kuhnhackl,de,RW,24,6-2,196,L/-,R,"January 21, 1992","5 G, 10 A, 15 P"
14,Chris Kunitz,ca,LW,36,6-0,195,L/-,11,"September 26, 1979","17 G, 23 A, 40 P"
58,Kris Letang,ca,D,28,6-0,201,R/-,9,"April 24, 1987","16 G, 51 A, 67 P"
12,Ben Lovejoy,us,D,31,6-1,206,R/-,7,"February 20, 1984","4 G, 6 A, 10 P"
3,Olli Maatta,fi,D,21,6-2,206,L/-,2,"August 22, 1994","6 G, 13 A, 19 P"
71,Evgeni Malkin,su,C,29,6-3,195,L/-,9,"July 31, 1986","27 G, 31 A, 58 P"
22,Kael Mouillierat,ca,LW,28,6-0,188,L/-,1,"December 9, 1987","0 G, 0 A, 0 P"
30,Matt Murray,ca,G,21,6-4,178,-/-,R,"May 25, 1994","9-2-1, 2.00 GAA"
57,David Perron,ca,LW,27,6-0,200,R/-,8,"May 28, 1988","4 G, 12 A, 16 P"
61,Sergei Plotnikov,su,LW,25,6-2,202,L/-,R,"June 3, 1990","0 G, 2 A, 2 P"
11,Kevin Porter,us,C,29,5-11,191,L/-,6,"March 12, 1986","0 G, 3 A, 3 P"
51,Derrick Pouliot,ca,D,22,6-0,208,L/-,1,"January 16, 1994","0 G, 7 A, 7 P"
17,Bryan Rust,us,RW,23,5-11,192,R/-,1,"May 11, 1992","4 G, 7 A, 11 P"
4,Justin Schultz,ca,D,25,6-2,193,R/-,3,"July 6, 1990","1 G, 7 A, 8 P"
4,Rob Scuderi,us,D,37,6-1,212,L/-,11,"December 30, 1978","0 G, 4 A, 4 P"
47,Tom Sestito,us,LW,28,6-5,228,L/-,7,"September 28, 1987","0 G, 1 A, 1 P"
43,Conor Sheary,us,LW,23,5-8,175,L/-,R,"June 8, 1992","7 G, 3 A, 10 P"
49,Dominik Simon,cz,C,21,5-11,176,L/-,R,"August 8, 1994","0 G, 1 A, 1 P"
41,Daniel Sprong,nl,RW,18,6-0,180,R/-,R,"March 17, 1997","2 G, 0 A, 2 P"
40,Oskar Sundqvist,se,C,21,6-3,209,R/-,R,"March 23, 1994","1 G, 3 A, 4 P"
5,David Warsofsky,us,D,25,5-9,170,L/-,2,"May 30, 1990","1 G, 0 A, 1 P"
23,Scott Wilson,ca,LW,23,5-11,183,L/-,1,"April 24, 1992","5 G, 1 A, 6 P"
37,Jeff Zatkoff,us,G,28,6-2,179,-/-,2,"June 9, 1987","4-7-1, 2.79 GAA"
